$BlockNames
EXP_JointSet_1_Axle_111:EXP社 小型車軸
EXP_JointSet_1_Bearing_111:EXP社 小型軸受
EXP_JointSet_1_Cap_1_111:EXP社 反転された車軸
EXP_JointSet_1_Cap_2_111:EXP社 小型キャップ
EXP_JointSet_2_Axle_222:EXP社 中型車軸
EXP_JointSet_2_Bearing_222:EXP社 中型軸受
EXP_JointSet_3_Ball_111:EXP社 小型ボール
EXP_JointSet_3_Socket_111:EXP社 小型ソケット
EXP_JointSet_4_Ball_332:EXP社 中型ボール
EXP_JointSet_4_Socket_332:EXP社 中型ソケット
EXP_JointSet_Pole_111:EXP社 小型ポール
EXP_JointSet_Pole_121:EXP社 中型ポール
EXPBaler_333:EXP社 リソースベーラー
EXPBaseCollector_111:コレクター
EXPBaseLoader_111:ローダー
EXPBaseTractorPad_111:新・ミニコレクター
EXPBaseTractorPad_212:新・中型コレクター
EXPBaseTransporter_111:トランスポーター
EXPBombBay_113:EXP社 爆弾ビッグマン
EXPDynamoGenerator_111:EXP社 ダイナモ発電機
EXPFlares_111:EXP社 花火ランチャー
EXPGyro_111:EXP社 ジャイロ スタビライザー
EXPLongScanner_121:EXP社 長距離スキャナー
EXPMiniMortar_111:EXP社 スモークランチャー
EXPOspreyProp_222:EXP社 オスプレイプロペラ
EXPPlasmaFurnace_333:EXP社 プラズマ発電機
EXPPlatform_01_441:EXP社 プラットフォーム
EXPRadar_323:EXP社 資源レーダー
EXPRamp_01_241:EXP社 斜面ブロック(中)
EXPRamp_02_231:EXP社 斜面ブロック(小)
EXPRamp_03_242:EXP社 斜面ブロック(大)
EXPTow_Ring_332:EXP社 牽引用リング(大)タイプ1
EXPTowSet_1_Hook_111:EXP社 牽引用フック(小)
EXPTowSet_1_Ring_111:EXP社 牽引用リング(小)
EXPTowSet_2_Hook_223:EXP社 牽引用フック(中)タイプ1
EXPTowSet_2_Ring_222:EXP社 牽引用リング(中)タイプ1
EXPTowSet_3_Hook_223:EXP社 牽引用フック(中)
EXPTowSet_3_Ring_222:EXP社 牽引用リング(中)タイプ2
EXPTowSet_4_Hook_322:EXP社 牽引用フック(大)
EXPTowSet_4_Lock_311:EXP社 牽引用ロック(大)
EXPTowSet_4_Ring_322:EXP社 牽引用リング(大)タイプ2
EXPVibroKnife_112:EXP社 超音波カッター
EXPWheel_F1_212:EXP社 フォーミュラ1タイヤ(小)
EXPWheel_F1_322:EXP社 フォーミュラ1タイヤ(大)
EXPWheel_Passive_111:EXP社 トレーラー車輪(小)
EXPWheel_Passive_222:EXP社 トレーラー車輪(中)
GC_TB_Carbius_232:GeoCorp社 圧縮カーバイトブロック
GC_TB_Celestian_232:GeoCorp社 圧縮セレスタイトブロック
GC_TB_Erudian_232:GeoCorp社 圧縮エルダイトブロック
GC_TB_Fibron_232:GeoCorp社 圧縮フィブロンブロック
GC_TB_Ignian_232:GeoCorp社 圧縮イグナイトブロック
GC_TB_Luxian_232:GeoCorp社 圧縮ルクサイトブロック
GC_TB_Olastic_232:GeoCorp社 圧縮オレイトブロック
GC_TB_Plumbia_232:GeoCorp社 圧縮メタリウムブロック
GC_TB_Rodius_232:GeoCorp社 圧縮ローダイトブロック
GC_TB_Rubber_232:GeoCorp社 圧縮ゴムブロック
GC_TB_Titania_232:GeoCorp社 圧縮チタニウムブロック
GCAIModuleGuard_222:GeoCorp社 AIモジュール"ブルドーザー"
GCAnchorFixed_222:GeoCorp社 固定アンカー
GCAnchorRotating_222:GeoCorp社 回転アンカー
GCArmourPlate_221:GeoCorp社 耐久壁(小)
GCArmourPlate_421:GeoCorp社 耐久壁(大)
GCArticulatedDrill_423:GeoCorp社 関節付ダイヤドリル
GCBattery_222:GeoCorp社 電池パック
GCBlock_222:GeoCorp社 基本ブロック
GCBlock_224:GeoCorp社 ブロック(中)
GCBlock_424:GeoCorp社 ブロック(長)
GCBlock_Corner_222:GeoCorp社 1/2ブロック
GCBlock_Edge_222:GeoCorp社 1/2ブロック
GCBlock_Edge_224:GeoCorp社 1/2ブロック(長)
GCBlockGirder_222:GeoCorp社 支柱ブロック
GCBlockGirder_224:GeoCorp社 ブリュー支柱
GCBlockSkirting_242:GeoCorp社 幅木ブロック
GCBumper_411:GeoCorp社 4ブロックバンパー
GCBumper_611:GeoCorp社 6ブロックバンパー
GCBumper_Bar_111:GeoCorp社 パッド付バンパー
GCBumper_Corner_111:GeoCorp社 コーナーバンパー
GCBumper_Cross_111:GeoCorpp社 十字バンパー
GCBumper_Straight_111:GeoCorpp社 直線バンパー（短）
GCBumper_Straight_112:GeoCorp社 直線バンパー（長）
GCBumper_Tee_111:GeoCorp社 T字バンパー
GCBumper_Tri_111:GeoCorp社 頂点バンパー
GCBuzzSaw_312:GeoCorp社 回転ノコギリ
GCCockpit_221:GeoCorp社 GPR 操縦ブロック
GCCockpit_222:GeoCorp社 操縦ブロック"ボス"
GCCockpit_224:GeoCorp社 操縦ブロック"ダイオウ"
GCConveyor_212:GeoCorp社 コンベア
GCDeliveryCannon_424:GeoCorp社 納品キャノン
GCDeliveryCannon_464:GeoCorp社 設置型納品キャノン
GCDiggerScoop_233:GeoCorp社 基本シャベル
GCDiggerScoop_433:GeoCorp社 幅広シャベル
GCFabricator_432:GeoCorp社 合成機
GCFilter_212:GeoCorp社 フィルター
