$BlockNames
EXP_JointSet_1_Axle_111:创新研发科技 小型轮轴
EXP_JointSet_1_Bearing_111:创新研发科技 小型轴承
EXP_JointSet_1_Cap_1_111:创新研发科技 小型倒轮轴
EXP_JointSet_1_Cap_2_111:创新研发科技 小型轴盖
EXP_JointSet_2_Axle_222:创新研发科技 中型轮轴
EXP_JointSet_2_Bearing_222:创新研发科技 中型轴承
EXP_JointSet_3_Ball_111:创新研发科技 小型球轴
EXP_JointSet_3_Socket_111:创新研发科技 小型球轴座
EXP_JointSet_4_Ball_332:创新研发科技 中型球轴
EXP_JointSet_4_Socket_332:创新研发科技 中型球轴座
EXP_JointSet_Pole_111:创新研发科技 小型延伸轴
EXP_JointSet_Pole_121:创新研发科技 中型延伸轴
EXPBaler_333:创新研发科技 资源压缩机
EXPBaseCollector_111:采集器
EXPBaseLoader_111:铲斗
EXPBaseTractorPad_111:新迷你牵引板
EXPBaseTractorPad_212:新中型牵引板
EXPBaseTransporter_111:运输者
EXPBombBay_113:创新研发科技 大个子航空炸弹
EXPDynamoGenerator_111:创新研发科技 动能发电机
EXPFlares_111:创新研发科技 烟花发射器
EXPGyro_111:创新研发科技 陀螺稳定器
EXPLongScanner_121:创新研发科技 远程雷达
EXPMiniMortar_111:创新研发科技 烟雾弹发射器
EXPOspreyProp_222:创新研发科技 “鱼鹰”推进器
EXPPlasmaFurnace_333:创新研发科技 等离子发电机
EXPPlatform_01_441:创新研发科技 平台
EXPRadar_323:创新研发科技 资源雷达
EXPRamp_01_241:创新研发科技 中型斜坡
EXPRamp_02_231:创新研发科技 小型斜坡
EXPRamp_03_242:创新研发科技 大型斜坡
EXPTow_Ring_332:创新研发科技 一型大挂环
EXPTowSet_1_Hook_111:创新研发科技 小型挂钩
EXPTowSet_1_Ring_111:创新研发科技 小型挂环
EXPTowSet_2_Hook_223:创新研发科技 一型中型拖钩
EXPTowSet_2_Ring_222:创新研发科技 一型中型拖环
EXPTowSet_3_Hook_223:创新研发科技 二型中型拖钩
EXPTowSet_3_Ring_222:创新研发科技 二型中型拖环
EXPTowSet_4_Hook_322:创新研发科技 大型拖钩
EXPTowSet_4_Lock_311:创新研发科技 拖钩锁定件
EXPTowSet_4_Ring_322:创新研发科技 二型大型拖环
EXPVibroKnife_112:创新研发科技 高频振动刀
EXPWheel_F1_212:创新研发科技 小型F1赛车轮
EXPWheel_F1_322:创新研发科技 大型F1赛车轮
EXPWheel_Passive_111:创新研发科技 小型拖车轮
EXPWheel_Passive_222:创新研发科技 中型拖车轮
GC_TB_Carbius_232:深空联合矿业 煤碳压缩块
GC_TB_Celestian_232:深空联合矿业 镁晶压缩块
GC_TB_Erudian_232:深空联合矿业 博晶压缩块
GC_TB_Fibron_232:深空联合矿业 木纖維压缩块
GC_TB_Ignian_232:深空联合矿业 铌晶压缩块
GC_TB_Luxian_232:深空联合矿业 氖晶压缩块
GC_TB_Olastic_232:深空联合矿业 塑膏压缩块
GC_TB_Plumbia_232:深空联合矿业 铁锭压缩块
GC_TB_Rodius_232:深空联合矿业 镉酸压缩块
GC_TB_Rubber_232:深空联合矿业 橡胶压缩块
GC_TB_Titania_232:深空联合矿业 钛矿压缩块
GCAIModuleGuard_222:深空联合矿业 "翻土兵"AI模块
GCAnchorFixed_222:深空联合矿业 固定锚点
GCAnchorRotating_222:深空联合矿业 旋转锚点
GCArmourPlate_221:深空联合矿业 小型冲击板
GCArmourPlate_421:深空联合矿业 大型冲击板
GCArticulatedDrill_423:深空联合矿业 铰接式钻石尖钻头
GCBattery_222:深空联合矿业 电池组
GCBlock_222:深空联合矿业 基础方块
GCBlock_224:深空联合矿业 长方块
GCBlock_424:深空联合矿业 “大块头”方块
GCBlock_Corner_222:深空联合矿业 半角块
GCBlock_Edge_222:深空联合矿业 斜角块
GCBlock_Edge_224:深空联合矿业 长半角块
GCBlockGirder_222:深空联合矿业 大梁
GCBlockGirder_224:深空联合矿业 “布鲁”梁
GCBlockSkirting_242:深空联合矿业 垫脚块
GCBumper_411:深空联合矿业 四单位超长保险杠
GCBumper_611:深空联合矿业 六单位保险杠
GCBumper_Bar_111:深空联合矿业 护垫保险杠
GCBumper_Corner_111:深空联合矿业 角杠
GCBumper_Cross_111:深空联合矿业 十字连接保险杠
GCBumper_Straight_111:深空联合矿业 小保险杠
GCBumper_Straight_112:深空联合矿业 长保险杠
GCBumper_Tee_111:深空联合矿业 T型保险杠
GCBumper_Tri_111:深空联合矿业 三点保险杠
GCBuzzSaw_312:深空联合矿业 电锯
GCCockpit_221:深空联合矿业 工头GPR驾驶室
GCCockpit_222:深空联合矿业 老板驾驶室
GCCockpit_224:深空联合矿业 大王驾驶室
GCConveyor_212:深空联合矿业 传送带
GCDeliveryCannon_424:深空联合矿业 投送炮
GCDeliveryCannon_464:深空联合矿业 锚定投送炮
GCDiggerScoop_233:深空联合矿业 单铲斗
GCDiggerScoop_433:深空联合矿业 双铲斗
GCFabricator_432:深空联合矿业 合成台
GCFilter_212:深空联合矿业 过滤器
GCGeneratorStatic_222:深空联合矿业 锚定发电机
GCGeneratorThermal_332:深空联合矿业 地热发电机
GCJackHammer_244:深空联合矿业 角度冲击钻
GCJackHammer_Straight_226:深空联合矿业 直式撞击钻
GCLightFixed_111:深空联合矿业 小型泛光灯
GCLightSpot_222:深空联合矿业 聚光灯
GCLightStrip_211:深空联合矿业 连体泛光灯
GCLightStud_111:深空联合矿业 应急灯
GCMagnetCrane_255:深空联合矿业 APD 起重磁铁
GCPlasmaCutter_222:深空联合矿业 激光切割机
GCPlasmaCutter_Angled_222:深空联合矿业 倾式激光切割机
GCRamSpike_223:深空联合矿业 金刚石钻头
GCReceiver_212:深空联合矿业 资源接收盘
GCRefinery_223:深空联合矿业 精炼器
GCRegen_222:深空联合矿业 修复罩发生器
GCRemoteCharger_212:深空联合矿业 远程充电器
GCScrapMagnet_424:深空联合矿业 方块磁铁
GCScrapper_432:深空联合矿业 分解器
GCSCU_454:深空联合矿业 锚定重SCU
GCSilo_424:深空联合矿业 超级混合仓筒
GCTerminal_212:深空联合矿业 商店终端
GCTrack_A_422:深空联合矿业 卡特彼勒右履带
GCTrack_A_Mirrored_422:深空联合矿业 卡特彼勒左履带
GCTrack_B_422:深空联合矿业 卡特彼勒中型履带
GCTractor_212:深空联合矿业 “拾荒者”收集器
GCTractorPad_414:深空联合矿业 “史考提”高容量收集器
GCTripleBore_234:深空联合矿业 “地狱三头犬”钻头
GCWheel_222:深空联合矿业 加深工程轮胎
GCWheel_232:深空联合矿业 “工作日”小型工程轮胎
GCWheel_Stupid_588:深空联合矿业 巨兽轮
GCWheelMega_344:深空联合矿业 超巨工程轮胎
GCWheelMetal_222:深空联合矿业 碾压工程轮胎
GCWheelMetal_332:深空联合矿业 有齿工程轮胎
GSO_Exploder_A_111:银河系联合国 双向爆弹式连接器
GSO_Exploder_B_111:银河系联合国 六向爆弹式连接器
GSO_TB_Carbius_221:银河系联合国 煤碳压缩块
GSO_TB_Celestian_221:银河系联合国 镁晶压缩块
GSO_TB_Erudian_221:银河系联合国 博晶压缩块
GSO_TB_Fibron_221:银河系联合国 木纖維压缩块
GSO_TB_Ignian_221:银河系联合国 铌晶压缩块
GSO_TB_Luxian_221:银河系联合国 氖晶压缩块
GSO_TB_Olastic_221:银河系联合国 塑膏压缩块
GSO_TB_Plumbia_221:银河系联合国 铁锭压缩块
GSO_TB_Rodius_221:银河系联合国 镉酸压缩块
GSO_TB_Rubber_221:银河系联合国 橡胶压缩块
GSO_TB_Titania_221:银河系联合国 钛矿压缩块
GSOAIController_111:银河系联合国 “穆尔蒂克”探索式AI模块
GSOAIGuardController_111:银河系联合国 “咕哝”AI模块
GSOAlternator_111:银河系联合国 输送器传送带
GSOAltimeter_111:银河系联合国 高度计
GSOAnchorAI_121:银河系联合国 AI锚定模块
GSOAnchorFixed_111:银河系联合国 固定桩
GSOAnchorRotating_111:银河系联合国 旋转桩
GSOArmourPlateCab_111:银河系联合国 驾驶室装甲片
GSOArmourPlateLarge_222:银河系联合国 大型装甲片
GSOArmourPlateMedium_211:银河系联合国 中型装甲片
GSOArmourPlateSmall_111:银河系联合国 小型装甲片
GSOAutoMiner_324:银河系联合国 自动采矿机
GSOBaseFixed_212:银河系联合国 固定桩
GSOBattery_111:银河系联合国 小型电池
GSOBlock_111:银河系联合国 单方块
GSOBlock_112:银河系联合国 双方块
GSOBlock_311:银河系联合国 三方块
GSOBlock_411:银河系联合国 四方块
GSOBlock_511:银河系联合国 五方块
GSOBlockHalf_111:银河系联合国 单半方块
GSOBlockHalfCorner_111:银河系联合国 角半方块
GSOBlockHalfCornerInside_111:银河系联合国 内角半方块
GSOBlockLongHalf_211:银河系联合国 双半方块
GSOBlockSkirting_121:银河系联合国 垫脚块
GSOBooster_112:银河系联合国 "四氧"喷射推进器
GSOCannonTurret_111:银河系联合国 3磅加农炮
GSOCockpit_111:银河系联合国 “宇航员”驾驶室
GSOComponentFactory_323:银河系联合国 组件工厂
GSOComponentFactory_Dongle_1_111:银河系联合国 组件工厂初级提升组件
GSOComponentFactory_Dongle_2_111:银河系联合国 组件工厂中级级提升组件
GSOComponentFactory_Dongle_3_111:银河系联合国 组件工厂高级级提升组件
GSOConveyor_111:银河系联合国 传送带
GSOConveyor_CCTurn_221:银河系联合国 向上垂直转角输送器
GSOConveyor_CVTurn_111:银河系联合国 向下垂直转角输送器
GSOConveyorStep_121:银河系联合国 阶梯传送器
GSODeliCannon_221:银河系联合国 流动投送炮
GSODeliCannon_222:银河系联合国 锚定投送炮
GSODispenserMini_111:银河系联合国 方块发射器
GSODropperConveyor_111:银河系联合国 传送带脱离器
GSOFabricator_322:银河系联合国 合成台
GSOFan_221:银河系联合国 涡轮螺旋桨
GSOFilter_111:银河系联合国 过滤传送器
GSOFixedDrill_111:银河系联合国 迷你钻
GSOFixedDrill_112:银河系联合国 岩凿钻
GSOFuelTank_121:银河系联合国 “噼里”小型燃料箱
GSOFuelTank_222:银河系联合国 “啪啦”大型燃料箱
GSOGaugeFuel_111:银河系联合国 燃料计
GSOGaugePower_111:银河系联合国 电力表
GSOGenerator_211:银河系联合国 流动发电机
GSOGenerator_212:银河系联合国 小型发电机
GSOGeneratorSolar_141:银河系联合国 光能发电机
GSOGeneratorStatic_212:银河系联合国 锚定发电机
GSOHeart_343:银河系联合国 锚定SCU
GSOHover_212:银河系联合国 大型悬浮板
GSOHoverJet_111:银河系联合国 反重力悬浮板
GSOLaserFixed_111:银河系联合国 窄径COIL激光器
GSOLaserForward_111:银河系联合国 宽径STUD激光器
GSOLightFixed_111:银河系联合国 闪光照明灯
GSOLightSpot_111:银河系联合国 紧急探照灯
GSOLightStrip_211:银河系联合国 “嗡嗡”带状灯
GSOLightStud_111:银河系联合国 防风灯
GSOMediumCannon_222:银河系联合国 巨炮
GSOMegaBooster_112:银河系联合国 大型喷射推进器
GSOMGunFixed_111:银河系联合国 ZK-47轻机枪
GSOMiniMissile_222:银河系联合国 导弹炮台
GSOMortarFixed_211:银河系联合国 8炮筒迷你迫击炮
GSOPacemaker_111:银河系联合国 生产线调速器
GSOPlough_211:银河系联合国 犁
GSOPlough_311:银河系联合国 推土犁
GSOPloughCowCatcher_321:银河系联合国 排障犁
GSOPowerSource_222:银河系联合国 电源
GSORadar_111:银河系联合国 “克莱文”雷达
GSOReceiver_111:银河系联合国 接收器
GSOReceiver_312:银河系联合国 接收器
GSORefinery_222:银河系联合国 精炼器
GSORegen_111:银河系联合国 修复罩发生器
GSORemoteCharger_111:银河系联合国 无线充电器
GSOScrapMagnet_222:银河系联合国 废料磁铁
GSOScrapMagnetMini_111:银河系联合国 迷你废料磁铁
GSOScrapper_322:银河系联合国 废品处理机
GSOShield_111:银河系联合国 防御罩发生器
GSOShop_121:银河系联合国 商店终端
GSOShotgunCombat_111:银河系联合国 战斗霰弹枪
GSOSilo_111:银河系联合国 小型筒仓
GSOSilo_212:银河系联合国 中型筒仓
GSOSilo_313:银河系联合国 大型筒仓
GSOSteeringThruster_111:银河系联合国 转向助推器
GSOTrack_112:银河系联合国 "得克"履带
GSOTractorMini_111:银河系联合国 “套管”牵引板
GSOTractorPad_212:银河系联合国 “平床”牵引板
GSOVendor_Block:银河系联合国 交易站
GSOVendor_Conveyor:银河系联合国 交易站
GSOVendor_DeliCannon:银河系联合国 交易站
GSOVendor_MissionBoard:银河系联合国 交易站
GSOVendor_Receiver:银河系联合国 交易站
GSOVendor_Terminal:银河系联合国 交易站
GSOWheel_111:银河系联合国 土路轮
GSOWheel_222:银河系联合国 特大轮
GSOWheel_233:银河系联合国 土狗轮
GSOWheelGroundClearing_211:银河系联合国 提升轮
GSOWheelHub_111:银河系联合国 集合轮
GSOWheelSmall_111:银河系联合国 小型徒步者轮
GSOWheelStabiliser_111:银河系联合国 稳定轮
GSOWheelTall_121:银河系联合国 高脚轮
GSOWingLeft_312:银河系联合国 疾风机翼·左
GSOWingMini_311:银河系联合国 小型扰流翼
GSOWingRight_312:银河系联合国 疾风机翼·右
GSOWingTail_122:银河系联合国 尾翼方向舵
HE_AIModule_Guard_112:鹰眼军工集团 反式AI模块
HE_AITurret_112:鹰眼军工集团 “哨兵”AI模块
HE_AnchorFixed_212:鹰眼军工集团 固定锚
HE_AnchorRotating_212:鹰眼军工集团 旋转锚
HE_ArmouredBlock_10_111:鹰眼军工集团 小型堡垒装甲
HE_ArmouredBlock_11_121:鹰眼军工集团 中型堡垒装甲
HE_ArmouredBlock_12_131:鹰眼军工集团 大型堡垒装甲
HE_ArmouredWheel_13_111:鹰眼军工集团 守卫轮
HE_BlockSkirting_121:鹰眼军工集团 垫脚块
HE_Bracket_01_22_111:鹰眼军工集团 大型支架
HE_Bracket_02_23_111:鹰眼军工集团 小型支架
HE_Bracket_03_24_111:鹰眼军工集团 中型支架
HE_Bracket_4AP_111:鹰眼军工集团 边角支架
HE_Bracket_Alt_01_111:鹰眼军工集团 十字支架
HE_Cab_07_111:鹰眼军工集团 “猎人”驾驶室
HE_CannonTurret_327:鹰眼军工集团 HG1型加农炮（Alt）
HE_CannonTurret_Short_525:鹰眼军工集团 HG1型加农炮
HE_Chain_Gun_29_111:鹰眼军工集团 连发机枪
HE_Collector_111:鹰眼军工集团 牵引盘
HE_Cruise_Missile_51_121:鹰眼军工集团 巡航导弹
HE_DeliveryCannon_353:鹰眼军工集团 锚定投送炮
HE_Fabricator_332:鹰眼军工集团 制造台
HE_Fan_16_111:鹰眼军工集团 转子涡轮
HE_Fuel_131:鹰眼军工集团 燃料罐
HE_Jet_25_111:鹰眼军工集团 火箭级喷射器
HE_JetEngine_112:鹰眼军工集团 小型喷气发动机
HE_LandingGear_32_111:鹰眼军工集团 起落架
HE_Laser_Targeting_111:鹰眼军工集团 激光瞄准器
HE_Light_Stud_111:鹰眼军工集团 信号灯
HE_MachineGun_33_111:鹰眼军工集团 高速机枪
HE_Mini_Gun_20_111:鹰眼军工集团 火神自动机炮
HE_Missile_Pod_28_111:鹰眼军工集团 快速导弹发射仓
HE_Pylon_17_111:鹰眼军工集团 武器挂架
HE_RailGun_113:鹰眼军工集团 电磁轨道炮
HE_Refinery_232:鹰眼军工集团 精炼器
HE_Regen_112:鹰眼军工集团 修复罩发生器
HE_Rotor_Large_19_111:鹰眼军工集团 大型螺旋桨
HE_Rotor_Small_18_111:鹰眼军工集团 中型螺旋桨
HE_ScrapMagnet_212:鹰眼军工集团 方块磁铁
HE_Scrapper_323:鹰眼军工集团 分解器
HE_SCU_343:鹰眼军工集团 "迷宫"锚定奇点收纳装置
HE_SensorPod_30_111:鹰眼军工集团 指向雷达
HE_Shield_111:鹰眼军工集团 毁灭级防御罩发生器
HE_Shotgun_112:鹰眼军工集团 "刺针"霰弹枪
HE_StdBlock_01_111:鹰眼军工集团 单方块
HE_StdBlock_08_121:鹰眼军工集团 双方块
HE_StdBlock_Alt_1_02_111:鹰眼军工集团 单方块（Alt1）
HE_StdBlock_Alt_1_09_121:鹰眼军工集团 双方块（Alt2）
HE_StdBlock_Alt_2_03_111:鹰眼军工集团 转角支架
HE_StdBlock_Alt_2_09_121:鹰眼军工集团 长支架
HE_StdBlock_Alt_3_04_111:鹰眼军工集团 单方块（Alt3）
HE_StdBlock_Alt_4_05_111:鹰眼军工集团 平面支架
HE_StdBlock_Alt_4_06_111:鹰眼军工集团 单方块（Alt5）
HE_Suppressed_MGun_111:鹰眼军工集团 爆裂枪
HE_Tail_Wing_27_111:鹰眼军工集团 之羽
HE_TB_Carbius_222:鹰眼军工集团 煤碳压缩块
HE_TB_Celestian_222:鹰眼军工集团 镁晶压缩块
HE_TB_Erudian_222:鹰眼军工集团 博晶压缩块
HE_TB_Fibron_222:鹰眼军工集团 木纖維压缩块
HE_TB_Ignian_222:鹰眼军工集团 铌晶压缩块
HE_TB_Luxian_222:鹰眼军工集团 氖晶压缩块
HE_TB_Olastic_222:鹰眼军工集团 塑膏压缩块
HE_TB_Plumbia_222:鹰眼军工集团 铁锭压缩块
HE_TB_Rodius_222:鹰眼军工集团 镉酸压缩块
HE_TB_Rubber_222:鹰眼军工集团 橡胶压缩块
HE_TB_Titania_222:鹰眼军工集团 钛矿压缩块
HE_Terminal_111:鹰眼军工集团 商店终端
HE_Tracks_21_111:鹰眼军工集团 坦克履带
HE_Wheel_14_111:鹰眼军工集团 踏板车轮
HE_Wheel_Single_02_122:鹰眼军工集团 倾式自行车轮
HE_Wheel_Single_121:鹰眼军工集团 直式自行车轮
HE_Wing_26_111:鹰眼军工集团 "展" 机翼
HE_Wing_Wheel_31_111:鹰眼军工集团 翼轮
HE_WingTip_121:鹰眼军工集团 翼梢
SPE_Moustache_111:大胡子
SPE_Sombrero_323:怒退君的草帽
SPEBeardGreen_111:绿胡子
SPEBeardWhite_111:白胡子
SPEBirthdayHat_111:生日蛋糕帽
SPEBowlerHat_111:商人圆顶硬礼帽
SPEBunnyEars_111:弹跳兔耳朵
SPEColourBlock01_Black_111:黑色方块
SPEColourBlock02_Grey_111:灰色方块
SPEColourBlock03_White_111:白色方块
SPEColourBlock04_Purple_111:紫色方块
SPEColourBlock05_DarkBlue_111:深蓝色方块
SPEColourBlock06_Blue_111:蓝色方块
SPEColourBlock07_LightBlue_111:浅蓝色方块
SPEColourBlock08_LightGreen_111:浅绿色方块
SPEColourBlock09_Green111:绿色方块
SPEColourBlock10_YellowGreen_111:青色方块
SPEColourBlock11_Yellow_111:黄色方块
SPEColourBlock12_Orange_111:橙色方块
SPEColourBlock13_Brown_111:棕色方块
SPEColourBlock14_Red_111:红色方块
SPEColourBlock15_Magenta_111:桃红色方块
SPEColourBlock16_Pink_111:粉色方块
SPEColourBlock17_Camping_Green_111:军绿色方块
SPEColourBlock18_Indigo_111:靛蓝色方块
SPEColourBlock19_Light_Pink_111:亮粉色方块
SPEColourBlock20_Flesh_01_111:皮肤色方块
SPEColourBlock21_Flesh_02_111:皮肤色方块
SPEColourBlock22_Flesh_03_111:皮肤色方块
SPEColourBlock23_Flesh_04_111:皮肤色方块
SPEColourBlock24_Flesh_05_111:皮肤色方块
