$BlockNames
EXP_JointSet_1_Axle_111:新研科技 小型輪軸
EXP_JointSet_1_Bearing_111:新研科技 小型軸承
EXP_JointSet_1_Cap_1_111:新研科技 小型倒輪軸
EXP_JointSet_1_Cap_2_111:新研科技 小型軸蓋
EXP_JointSet_2_Axle_222:新研科技 中型輪軸
EXP_JointSet_2_Bearing_222:新研科技 中型軸承
EXP_JointSet_3_Ball_111:新研科技 小型球軸
EXP_JointSet_3_Socket_111:新研科技 小型球軸座
EXP_JointSet_4_Ball_332:新研科技 中型球軸
EXP_JointSet_4_Socket_332:新研科技 中型球軸座
EXP_JointSet_Pole_111:新研科技 小型延伸軸
EXP_JointSet_Pole_121:新研科技 中型延伸軸
EXPBaler_333:新研科技 資源壓縮機
EXPBaseCollector_111:採集器
EXPBaseLoader_111:鏟斗
EXPBaseTractorPad_111:新迷你牽引板
EXPBaseTractorPad_212:新中型牽引板
EXPBaseTransporter_111:運輸者
EXPBombBay_113:新研科技 大個子航空炸彈
EXPDynamoGenerator_111:新研科技 動能發電機
EXPFlares_111:新研科技 煙花發射器
EXPGyro_111:新研科技 陀螺穩定器
EXPLongScanner_121:新研科技 遠程雷達
EXPMiniMortar_111:新研科技 煙霧彈發射器
EXPOspreyProp_222:新研科技 “魚鷹”推進器
EXPPlasmaFurnace_333:新研科技 等離子發電機
EXPPlatform_01_441:新研科技 平台
EXPRadar_323:新研科技 資源雷達
EXPRamp_01_241:新研科技 中型斜坡
EXPRamp_02_231:新研科技 小型斜坡
EXPRamp_03_242:新研科技 大型斜坡
EXPTow_Ring_332:新研科技 一型大掛環
EXPTowSet_1_Hook_111:新研科技 小型掛鉤
EXPTowSet_1_Ring_111:新研科技 小型掛環
EXPTowSet_2_Hook_223:新研科技 一型中型拖鉤
EXPTowSet_2_Ring_222:新研科技 一型中型拖環
EXPTowSet_3_Hook_223:新研科技 二型中型拖鉤
EXPTowSet_3_Ring_222:新研科技 二型中型拖環
EXPTowSet_4_Hook_322:新研科技 大型拖鉤
EXPTowSet_4_Lock_311:新研科技 拖鉤鎖定件
EXPTowSet_4_Ring_322:新研科技 二型大型拖環
EXPVibroKnife_112:新研科技 高頻振動刀
EXPWheel_F1_212:新研科技 小型F1賽車輪
EXPWheel_F1_322:新研科技 大型F1賽車輪
EXPWheel_Passive_111:新研科技 小型拖車輪
EXPWheel_Passive_222:新研科技 中型拖車輪
GC_TB_Carbius_232:重礦工業 煤碳壓縮塊
GC_TB_Celestian_232:重礦工業 鎂晶壓縮塊
GC_TB_Erudian_232:重礦工業 博晶壓縮塊
GC_TB_Fibron_232:重礦工業 木纖維壓縮塊
GC_TB_Ignian_232:重礦工業 鈮晶壓縮塊
GC_TB_Luxian_232:重礦工業 氖晶壓縮塊
GC_TB_Olastic_232:重礦工業 塑膏壓縮塊
GC_TB_Plumbia_232:重礦工業 鐵錠壓縮塊
GC_TB_Rodius_232:重礦工業 镉酸壓縮塊
GC_TB_Rubber_232:重礦工業 橡膠壓縮塊
GC_TB_Titania_232:重礦工業 鈦礦壓縮塊
GCAIModuleGuard_222:重礦工業 "翻土兵"AI模塊
GCAnchorFixed_222:重礦工業 固定錨點
GCAnchorRotating_222:重礦工業 旋轉錨點
GCArmourPlate_221:重礦工業 小型衝擊板
GCArmourPlate_421:重礦工業 大型衝擊板
GCArticulatedDrill_423:重礦工業 鉸接式鑽石尖鑽頭
GCBattery_222:重礦工業 電池組
GCBlock_222:重礦工業 基礎方塊
GCBlock_224:重礦工業 長方塊
GCBlock_424:重礦工業 “大塊頭”方塊
GCBlock_Corner_222:重礦工業 半角塊
GCBlock_Edge_222:重礦工業 斜角塊
GCBlock_Edge_224:重礦工業 長半角塊
GCBlockGirder_222:重礦工業 大梁
GCBlockGirder_224:重礦工業 “布魯”梁
GCBlockSkirting_242:重礦工業 墊腳塊
